127.0.0.1 - - [11/Mar/2015:16:44:04 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [11/Mar/2015:17:16:33 +0530] "GET /inventoryweb/ HTTP/1.1" 200 2143
0:0:0:0:0:0:0:1 - - [11/Mar/2015:17:16:33 +0530] "GET /inventoryweb/zkau/web/d1e20db4/js/zuljsp.js;jsessionid=ACE047D3A69C2C0C2B0F2E7B8EC213EB HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [11/Mar/2015:17:16:33 +0530] "GET /inventoryweb/css/billling.css;jsessionid=ACE047D3A69C2C0C2B0F2E7B8EC213EB HTTP/1.1" 200 6844
0:0:0:0:0:0:0:1 - - [11/Mar/2015:17:16:33 +0530] "GET /inventoryweb/css/login.css;jsessionid=ACE047D3A69C2C0C2B0F2E7B8EC213EB HTTP/1.1" 200 2233
0:0:0:0:0:0:0:1 - - [11/Mar/2015:17:16:33 +0530] "GET /inventoryweb/css/clnr.css;jsessionid=ACE047D3A69C2C0C2B0F2E7B8EC213EB HTTP/1.1" 200 14104
0:0:0:0:0:0:0:1 - - [11/Mar/2015:17:16:33 +0530] "GET /inventoryweb/zkau/web/d1e20db4/js/zk.wpd;jsessionid=ACE047D3A69C2C0C2B0F2E7B8EC213EB HTTP/1.1" 200 109522
0:0:0:0:0:0:0:1 - - [11/Mar/2015:17:16:33 +0530] "GET /inventoryweb/zkau/web/d1e20db4/js/zul.lang.wpd;jsessionid=ACE047D3A69C2C0C2B0F2E7B8EC213EB HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [11/Mar/2015:17:16:34 +0530] "GET /inventoryweb/zkau/web/d1e20db4/zul/css/zk.wcs;jsessionid=ACE047D3A69C2C0C2B0F2E7B8EC213EB HTTP/1.1" 200 21738
0:0:0:0:0:0:0:1 - - [11/Mar/2015:17:16:34 +0530] "GET /inventoryweb/zkau/web/_zv2013070210/js/zul.wnd.wpd;jsessionid=ACE047D3A69C2C0C2B0F2E7B8EC213EB HTTP/1.1" 200 11579
0:0:0:0:0:0:0:1 - - [11/Mar/2015:17:16:34 +0530] "GET /inventoryweb/images/clnr/favicon.ico;jsessionid=ACE047D3A69C2C0C2B0F2E7B8EC213EB HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [11/Mar/2015:17:16:34 +0530] "GET /inventoryweb/zkau/web/_zv2013070210/js/zul.inp.wpd;jsessionid=ACE047D3A69C2C0C2B0F2E7B8EC213EB HTTP/1.1" 200 18921
0:0:0:0:0:0:0:1 - - [11/Mar/2015:17:16:34 +0530] "GET /inventoryweb/zkau/web/_zv2013070210/js/zk.fmt.wpd;jsessionid=ACE047D3A69C2C0C2B0F2E7B8EC213EB HTTP/1.1" 200 2861
0:0:0:0:0:0:0:1 - - [11/Mar/2015:17:16:34 +0530] "GET /inventoryweb/images/loginbox_right_bot.jpg;jsessionid=ACE047D3A69C2C0C2B0F2E7B8EC213EB HTTP/1.1" 200 3793
0:0:0:0:0:0:0:1 - - [11/Mar/2015:17:16:34 +0530] "GET /inventoryweb/images/loginbox_left_bot.jpg;jsessionid=ACE047D3A69C2C0C2B0F2E7B8EC213EB HTTP/1.1" 200 3758
0:0:0:0:0:0:0:1 - - [11/Mar/2015:17:23:40 +0530] "POST /inventoryweb/zkau;jsessionid=ACE047D3A69C2C0C2B0F2E7B8EC213EB HTTP/1.1" 200 74
0:0:0:0:0:0:0:1 - - [11/Mar/2015:17:23:44 +0530] "GET /inventoryweb/module/user-home.zul HTTP/1.1" 200 3518
0:0:0:0:0:0:0:1 - - [11/Mar/2015:17:23:44 +0530] "GET /inventoryweb/zkau;jsessionid=ACE047D3A69C2C0C2B0F2E7B8EC213EB?dtid=z_o9f&cmd_0=rmDesktop&opt_0=i HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [11/Mar/2015:17:23:44 +0530] "GET /inventoryweb/zkau/web/d1e20db4/js/zul.lang.wpd HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [11/Mar/2015:17:24:06 +0530] "POST /inventoryweb/zkau HTTP/1.1" 200 1590
0:0:0:0:0:0:0:1 - - [11/Mar/2015:17:24:09 +0530] "POST /inventoryweb/zkau HTTP/1.1" 200 3706
0:0:0:0:0:0:0:1 - - [11/Mar/2015:17:24:11 +0530] "POST /inventoryweb/zkau HTTP/1.1" 200 1083
0:0:0:0:0:0:0:1 - - [11/Mar/2015:17:24:24 +0530] "POST /inventoryweb/zkau HTTP/1.1" 200 1562
0:0:0:0:0:0:0:1 - - [11/Mar/2015:17:24:25 +0530] "POST /inventoryweb/zkau HTTP/1.1" 200 69
0:0:0:0:0:0:0:1 - - [11/Mar/2015:19:05:29 +0530] "GET /inventoryweb/zkau?dtid=z_p9f&cmd_0=rmDesktop&opt_0=i HTTP/1.1" 200 9
